,date,sensor_index,location_type.x,community,latitude,longitude,daily_PM,daily_RH,Smoke
237,1/6/23,124679,0,south chicago,41.74125,-87.55403,10.81522284,59.30362117,None
238,1/6/23,56135,0,humboldt park,41.902527,-87.73614,7.47520195,56.17270195,None
239,1/6/23,4404,0,NA,42.02362,-87.76341,12.20113194,58.12083333,None
240,1/6/23,96079,0,new city,41.81229,-87.66579,19.96200974,59.46453408,None
241,1/6/23,4395,0,west ridge,41.99568,-87.69189,12.40900699,56.09370629,None
242,1/6/23,151188,0,near north side,41.897343,-87.62692,17.65819444,53.99583333,None
243,1/6/23,6546,1,lower west side,41.856613,-87.6818,0.864061196,23.81502086,None
244,1/6/23,128349,0,south deering,41.7118,-87.55293,7.131284722,53.67777778,None
245,1/6/23,124513,1,irving park,41.95386,-87.71078,0.712444444,21.39722222,None
246,1/6/23,137622,1,edgewater,41.998116,-87.65649,1.65726257,12.71787709,None
247,1/6/23,140102,0,brighton park,41.82193,-87.69146,17.64032033,71.06197772,None
248,1/6/23,148029,0,irving park,41.9475,-87.71516,19.47473574,61.0945758,None
249,1/6/23,151082,0,rogers park,41.998966,-87.65796,18.69980226,65.09180791,None
250,1/6/23,8476,0,near south side,41.861206,-87.62989,7.704636785,99.79752705,None
251,1/6/23,36901,1,loop,41.88437,-87.61652,2.870856941,14.55807365,None
252,1/6/23,7920,0,south lawndale,41.849483,-87.69537,15.545375,58.50138889,None
253,1/6/23,94003,0,mckinley park,41.824825,-87.675125,18.05008392,63.13426573,None
254,1/6/23,87741,0,west town,41.90011,-87.68288,18.02567133,60.55664336,None
255,1/6/23,57579,1,edgewater,41.991753,-87.657234,2.864768786,24.04046243,None
256,1/6/23,133664,1,near south side,41.8595,-87.6205,10.90828691,53.33704735,None
257,1/6/23,52011,0,west town,41.911945,-87.66863,8.584477716,50.78830084,None
258,1/6/23,124649,0,east side,41.68474,-87.53683,10.625,58.15598886,None
259,1/6/23,51933,0,jefferson park,41.981876,-87.7778,16.90829114,61.65822785,None
260,1/6/23,150042,0,edgewater,41.998127,-87.65679,18.21058577,66.73500697,None
261,1/6/23,120369,0,NA,41.79734,-87.876686,6.87684,52.816,None
